UKB Entry	SNOMED CT ID	SNOMED CT CONCEPT ID	SNOMED CT DESCRIPTION
silderm cream	5877301000001110	2014901000001109	silderm cream
silgel cream	11341301000001119	3732201000001106	silgel cream
silkis 3micrograms/g ointment	12625501000001117	4100001000001103	silkis 3micrograms/g ointment
siloxyl suspension	4755101000001113	846701000001109	siloxyl suspension
simeco suspension	5780101000001115	1916401000001100	simeco suspension
simple eye ointment	109732701000001114	13228501000001102	simple eye ointment
simple linctus	109619101000001116	13171701000001100	simple linctus
simple ointment bp	49265601000001117	9722901000001101	simple ointment bp
simplene 0.5% eye drops	10292701000001116	760601000001106	simplene 0.5% eye drops
simvador 10mg tablet	13159801000001112	4312101000001109	simvador 10mg tablet
simvastatin	107635301000001118	96304005	simvastatin
sinemet-62.5 tablet	4326401000001110	187901000001107	sinemet-62.5 tablet
sinemet-ls tablet	8168301000001116	187901000001107	sinemet-ls tablet
sinequan 10mg capsule	10263901000001113	249301000001106	sinequan 10mg capsule
singulair 10mg tablet	7088401000001113	3318401000001103	singulair 10mg tablet
sinthrome 1mg tablet	4505001000001117	469601000001105	sinthrome 1mg tablet
sintisone 5mg tablet	5848501000001117	1985501000001107	sintisone 5mg tablet
siopel cream	10283701000001114	259801000001104	siopel cream
sirolimus	107656701000001112	116109004	sirolimus
six plus parapaed paracetamol 250mg/5ml s/f oral suspension	13142101000001112	4433701000001104	six plus parapaed paracetamol 250mg/5ml s/f oral suspension
skelid 200mg tablet	6601901000001119	2793001000001107	skelid 200mg tablet
skinoren cream	10283801000001117	330401000001103	skinoren cream
sleepia 50mg capsule	6757901000001114	2976001000001104	sleepia 50mg capsule
slo-indo 75mg m/r capsule	5869401000001115	2006401000001107	slo-indo 75mg m/r capsule
slo-phyllin 60mg m/r capsule	4492701000001115	452201000001108	slo-phyllin 60mg m/r capsule
slofedipine 20mg m/r tablet	6731501000001112	2944101000001105	slofedipine 20mg m/r tablet
slofenac sr 75mg m/r tablet	6674201000001117	2879101000001104	slofenac sr 75mg m/r tablet
slomon xl 60 m/r tablet	7436701000001116	3708701000001108	slomon xl 60 m/r tablet
sloprolol 80mg m/r capsule	6256401000001110	2421301000001109	sloprolol 80mg m/r capsule
slow sodium 600mg m/r tablet	4589501000001113	598401000001107	slow sodium 600mg m/r tablet
slow-fe 160mg m/r tablet	4636201000001117	668701000001108	slow-fe 160mg m/r tablet
slow-fe folic m/r tablet	4680301000001116	738801000001102	slow-fe folic m/r tablet
slow-k 600mg m/r tablet	4715701000001117	793601000001103	slow-k 600mg m/r tablet
slow-pren 160mg m/r tablet	5789801000001118	1926401000001109	slow-pren 160mg m/r tablet
slow-trasicor 160mg m/r tablet	4222701000001113	26801000001104	slow-trasicor 160mg m/r tablet
slozem 120mg m/r capsule	6213001000001118	2367101000001103	slozem 120mg m/r capsule
sno phenicol 0.5% eye drops	10784001000001118	121701000001106	sno phenicol 0.5% eye drops
sno phenicol 0.5% eye drops 10ml	6137401000001111	2281501000001109	sno phenicol 0.5% eye drops 10ml
sno pilo 1% eye drops	10292901000001119	199401000001109	sno pilo 1% eye drops
sno-tears eye drops	10293201000001117	410901000001109	sno-tears eye drops
sodium acid phosphate	14635001000001117	3579411000001104	sodium acid phosphate
sodium amytal 60mg tablet	5814401000001115	1951101000001109	sodium amytal 60mg tablet
sodium aurothiomalate	108081501000001115	68702006	sodium aurothiomalate
sodium bicarbonate	107615901000001114	57376006	sodium bicarbonate
sodium chloride	107620601000001117	70379000	sodium chloride
sodium chloride+glucose tablet	6657501000001113	2860901000001103	sodium chloride+glucose tablet
sodium citrate 4g/sachet powder	4697801000001112	765701000001107	sodium citrate 4g/sachet powder
sodium clodronate	105030201000001112	96283003	sodium clodronate
sodium cromoglicate	105034601000001118	40652001	sodium cromoglicate
sodium feredetate	108234801000001115	327487001	sodium feredetate
sodium fusidate	107723601000001117	324312006	sodium fusidate
sodium phenylbutyrate	107753701000001111	329472001	sodium phenylbutyrate
sodium phosphate	14635201000001111	3580811000001102	sodium phosphate
sodium picosulfate	107666101000001115	317558003	sodium picosulfate
sodium salicylate	107621401000001113	72968006	sodium salicylate
sodium stibogluconate	107727001000001118	324951006	sodium stibogluconate
sodium valproate	14872001000001117	3581111000001103	sodium valproate
sofradex eye/ear drops	10296701000001117	125001000001106	sofradex eye/ear drops
soframycin 0.5% eye drops 8ml	4848001000001119	951301000001106	soframycin 0.5% eye drops 8ml
soframycin 250mg tablet	5838101000001111	1975101000001109	soframycin 250mg tablet
soframycin cream	10507601000001119	1907401000001100	soframycin cream
soframycin eye ointment	10295601000001116	413501000001108	soframycin eye ointment
soframycin nebuliser solution	5875401000001114	2012801000001105	soframycin nebuliser solution
soframycin ointment	10789501000001114	328201000001101	soframycin ointment
soframycin powder	10507201000001116	837801000001104	soframycin powder
solaraze 3% gel	11390001000001116	3926901000001106	solaraze 3% gel
solian 100mg/ml s/f oral solution	7704201000001118	3999101000001105	solian 100mg/ml s/f oral solution
solifenacin	107824501000001115	407031006	solifenacin
solis 2mg capsule	5812201000001112	1948901000001104	solis 2mg capsule
soliwax ear drops	10506201000001118	1906701000001109	soliwax ear drops
soloc 5mg tablet	12502101000001117	4167301000001100	soloc 5mg tablet
solpadeine capsule	11274301000001114	3442201000001101	solpadeine capsule
solpadeine forte dispersible tablet	4785901000001118	882101000001104	solpadeine forte dispersible tablet
solpadeine headache soluble tablet	13333701000001114	4464701000001108	solpadeine headache soluble tablet
solpadeine headache tablet	13333601000001116	4464601000001103	solpadeine headache tablet
solpadeine max tablet	7164001000001116	3404301000001105	solpadeine max tablet
solpadeine plus capsule	61155701000001118	3442201000001101	solpadeine plus capsule
solpadeine plus soluble effervescent tablet	61155801000001110	1102901000001109	solpadeine plus soluble effervescent tablet
solpadeine plus tablet	61149601000001112	3442101000001108	solpadeine plus tablet
solpadeine soluble effervescent tablet	61186301000001119	1102901000001109	solpadeine soluble effervescent tablet
solpadeine tablet	11274201000001117	3442101000001108	solpadeine tablet
solpadol caplet	4740501000001111	830701000001107	solpadol caplet
solpadol capsule	7175101000001113	3417201000001106	solpadol capsule
solpadol effervescent tablet	4607101000001118	624001000001106	solpadol effervescent tablet
solpaflex gel	11074201000001113	2845301000001100	solpaflex gel
solpaflex tablet	6645301000001112	2845501000001107	solpaflex tablet
solprin 300mg dispersible tablet	5820701000001112	1957501000001106	solprin 300mg dispersible tablet
soltamox 10mg/5ml s/f oral solution	7366801000001110	3631601000001109	soltamox 10mg/5ml s/f oral solution
solvazinc 200mg effervescent tablet	4645201000001111	681701000001104	solvazinc 200mg effervescent tablet
somatonorm 4iu injection	5852301000001111	1989301000001103	somatonorm 4iu injection
somatrem	108130601000001113	125578008	somatrem
somatropin	107660101000001118	129495007	somatropin
somatropin 12iu injection	4804801000001112	903701000001101	somatropin 12iu injection
somatuline la 30mg injection (pdr)+diluent+syringe	7156001000001116	3394601000001105	somatuline la 30mg injection (pdr)+diluent+syringe
somavert 10mg injection (pdr for recon)+solvent	13505401000001111	8461001000001109	somavert 10mg injection (pdr for recon)+solvent
sominex 20mg tablet	10392701000001110	188201000001103	sominex 20mg tablet
somnite 5mg tablet	5962101000001111	2099801000001100	somnite 5mg tablet
somnwell 707mg tablet	13498201000001114	8452501000001104	somnwell 707mg tablet
sonata 5mg capsule	7405101000001118	3675801000001109	sonata 5mg capsule
soneryl 100mg tablet	4647601000001117	685601000001107	soneryl 100mg tablet
soni-slo 20mg m/r capsule	4676701000001111	732701000001108	soni-slo 20mg m/r capsule
soothelip cold sore 5% cream	11090101000001116	2937401000001109	soothelip cold sore 5% cream
sootheye eye autodrop	10288101000001115	194001000001100	sootheye eye autodrop
sorbichew 5mg chewable tablet	4499901000001112	463001000001100	sorbichew 5mg chewable tablet
sorbid-20 sa m/r capsule	4262901000001115	91201000001103	sorbid-20 sa m/r capsule
sorbitrate 10mg tablet	4370101000001118	259201000001100	sorbitrate 10mg tablet
sotacor 80mg tablet	4459801000001110	400301000001105	sotacor 80mg tablet
sotalol	107635201000001110	96301002	sotalol
sotalol hydrochloride+hydrochlorothiazide 80mg/12.5mg tablet	4598101000001112	609801000001108	sotalol hydrochloride+hydrochlorothiazide 80mg/12.5mg tablet
sotazide tablet	4668701000001117	721001000001104	sotazide tablet
sparine 50mg/5ml suspension	4568201000001119	566301000001101	sparine 50mg/5ml suspension
spasmonal 60mg capsule	4267901000001118	99701000001105	spasmonal 60mg capsule
spasmonal fibre granules 500g	7808801000001112	2094701000001108	spasmonal fibre granules 500g
spectinomycin	107628801000001115	86066003	spectinomycin
spiramycin	107588401000001115	302007	spiramycin
spiretic 25mg tablet	4327001000001119	188601000001101	spiretic 25mg tablet
spiriva 18micrograms inhalation capsule	12507601000001112	4155501000001106	spiriva 18micrograms inhalation capsule
spiro-co 25mg tablet	4970601000001116	1096401000001109	spiro-co 25mg tablet
spiroctan 25mg tablet	4636401000001118	668901000001105	spiroctan 25mg tablet
spiroctan-m 200mg/10ml injection	4665101000001112	714601000001104	spiroctan-m 200mg/10ml injection
spirolone 25mg tablet	4460101000001118	400601000001104	spirolone 25mg tablet
spironolactone	107595201000001111	13929005	spironolactone
spiroprop tablet	4765201000001114	859301000001104	spiroprop tablet
spirospare 25mg tablet	4230701000001112	38801000001101	spirospare 25mg tablet
sporanox 100mg capsule	4370601000001110	260101000001108	sporanox 100mg capsule
sporanox 10mg/ml oral liquid	11070601000001119	2819701000001109	sporanox 10mg/ml oral liquid
sporanox 10mg/ml s/f oral solution	11070501000001118	2819701000001109	sporanox 10mg/ml s/f oral solution
sporanox iv 250mg/25ml infusion concentrate	7612001000001114	3901601000001104	sporanox iv 250mg/25ml infusion concentrate
sporanox-pulse 100mg capsule	6596801000001114	2787101000001100	sporanox-pulse 100mg capsule
sprilon spray	10378101000001118	813201000001102	sprilon spray
squill opiate linctus	109619501000001114	13171901000001103	squill opiate linctus
sst tablet	7551801000001111	3834201000001103	sst tablet
stabillin v-k 125mg/5ml elixir	4336101000001118	204001000001100	stabillin v-k 125mg/5ml elixir
stabillin v-k 250mg tablet	4327401000001112	189201000001109	stabillin v-k 250mg tablet
stabillin v-k 250mg/5ml elixir	4380501000001119	274401000001103	stabillin v-k 250mg/5ml elixir
stabillin v-k 62.5mg/5ml syrup	4789601000001111	886801000001108	stabillin v-k 62.5mg/5ml syrup
stafoxil 250mg capsule	4453401000001111	390601000001109	stafoxil 250mg capsule
stafoxil 500mg capsule	4498601000001110	460801000001104	stafoxil 500mg capsule
stalevo 50mg / 12.5mg / 200mg tablet	13334301000001112	4465501000001101	stalevo 50mg / 12.5mg / 200mg tablet
stanozolol	105029601000001117	66602007	stanozolol
staphlipen 1g injection	5829701000001116	1966601000001103	staphlipen 1g injection
staphlipen 250mg capsule	5829401000001111	1966301000001109	staphlipen 250mg capsule
staphlipen 250mg injection	4790001000001113	887201000001109	staphlipen 250mg injection
staphlipen 500mg capsule	5829501000001110	1966401000001101	staphlipen 500mg capsule
staphlipen 500mg injection (pdr for recon)	5829601000001114	1966501000001102	staphlipen 500mg injection (pdr for recon)
staril 10mg tablet	4415401000001117	330601000001100	staril 10mg tablet
starlix 60mg tablet	7609501000001112	3898801000001103	starlix 60mg tablet
stavudine	107644401000001112	108690008	stavudine
stelazine 1mg tablet	4505801000001112	470701000001102	stelazine 1mg tablet
stemetil 5mg tablet	4598701000001113	610601000001100	stemetil 5mg tablet
sterculia	107607901000001118	42033003	sterculia
steri-neb ipratropium 250micrograms/1ml nebulisation unit	4964801000001118	1087901000001103	steri-neb ipratropium 250micrograms/1ml nebulisation unit
steri-neb salamol 2.5mg/2.5ml nebulisation unit	4551401000001118	540901000001109	steri-neb salamol 2.5mg/2.5ml nebulisation unit
steripod blue topical liquid	10386001000001111	776501000001104	steripod blue topical liquid
sterogyl 15mg/1.5ml solution	5866401000001111	2003401000001101	sterogyl 15mg/1.5ml solution
stesolid 5mg rectal solution	4423201000001113	343501000001105	stesolid 5mg rectal solution
stesolid 5mg/2.5ml rectal solution	8054001000001112	343501000001105	stesolid 5mg/2.5ml rectal solution
stiedex lp 0.05% oily cream	10518101000001110	1130501000001105	stiedex lp 0.05% oily cream
stiemycin solution	4729501000001116	814401000001100	stiemycin solution
stilline 5mg tablet	6387901000001115	2575201000001109	stilline 5mg tablet
stilnoct 5mg tablet	4959201000001112	1080001000001103	stilnoct 5mg tablet
stimlor 100mg capsule	6375001000001117	2559601000001107	stimlor 100mg capsule
strattera 10mg capsule	13501101000001119	8456101000001108	strattera 10mg capsule
strefen 8.75mg lozenge	7367301000001119	3632201000001104	strefen 8.75mg lozenge
streflam 8.75mg lozenge	12559701000001117	4154401000001106	streflam 8.75mg lozenge
strepsils cough lozenge	7378201000001116	3643801000001106	strepsils cough lozenge
strepsils lozenge	6216401000001117	2371601000001105	strepsils lozenge
streptomycin	107607401000001110	40877002	streptomycin
streptotriad tablet	5840801000001117	1977801000001107	streptotriad tablet
striant sr 30mg muco-adhesive buccal tablet	13504201000001111	8459601000001108	striant sr 30mg muco-adhesive buccal tablet
stromba 5mg tablet	4231001000001117	39201000001108	stromba 5mg tablet
strong coal tar solution+pine tar 5/5% gel	4699301000001113	767801000001109	strong coal tar solution+pine tar 5/5% gel
strontium product	13742501000001113	8565001000001101	strontium product
stugeron 15mg tablet	4275901000001119	111301000001101	stugeron 15mg tablet
sublimaze 100micrograms/2ml injection	4481301000001113	434801000001103	sublimaze 100micrograms/2ml injection
sublimaze 500micrograms/10ml injection	4527501000001113	504601000001101	sublimaze 500micrograms/10ml injection
subutex 2mg sublingual tablet	7279201000001117	3532801000001108	subutex 2mg sublingual tablet
subutex 400micrograms sublingual tablet	7279101000001112	3532501000001105	subutex 400micrograms sublingual tablet
subutex 8mg sublingual tablet	7279301000001114	3532901000001102	subutex 8mg sublingual tablet
sucralfate	107620501000001116	69967001	sucralfate
sudafed 0.05% nasal spray	4460001000001119	400501000001103	sudafed 0.05% nasal spray
sudafed 30mg/5ml elixir	4424501000001114	345201000001106	sudafed 30mg/5ml elixir
sudafed 60mg tablet	4370901000001115	260401000001102	sudafed 60mg tablet
sudafed co tablet	4415801000001115	331001000001103	sudafed co tablet
sudafed dual relief capsule	7527601000001115	3808301000001106	sudafed dual relief capsule
sudafed expectorant syrup	4690701000001116	754801000001107	sudafed expectorant syrup
sudocrem cream	10284101000001110	540801000001103	sudocrem cream
sulazine ec 500mg e/c tablet	13394801000001112	4471001000001100	sulazine ec 500mg e/c tablet
sulbactam ampicillin 750mg injection	5831601000001111	1968501000001101	sulbactam ampicillin 750mg injection
sulconazole	107649901000001119	108920000	sulconazole
sulfacetamide	108039501000001113	23827009	sulfacetamide
sulfadiazine	107804001000001115	371400009	sulfadiazine
sulfadimidine 500mg/5ml paediatric suspension	61189201000001118	892601000001107	sulfadimidine 500mg/5ml paediatric suspension
sulfaguanidine	100482101000001110	86939001	sulfaguanidine
sulfamylon 8.5% cream	5878701000001110	2016301000001101	sulfamylon 8.5% cream
sulfasalazine	107609401000001117	45844004	sulfasalazine
sulfinpyrazone	107597401000001115	19261005	sulfinpyrazone
sulfomyl 5% eye drops	5872401000001117	2009401000001104	sulfomyl 5% eye drops
sulindac	107630201000001117	89505005	sulindac
sulparex 200mg tablet	6277601000001113	2445301000001109	sulparex 200mg tablet
sulphacetamide 10% eye drops	11763001000001112	952501000001108	sulphacetamide 10% eye drops
sulphadimethoxine	108070501000001119	51013009	sulphadimethoxine
sulphadimidine 500mg/5ml paediatric suspension	12171301000001110	892601000001107	sulphadimidine 500mg/5ml paediatric suspension
sulphatriad tablet	5840901000001111	1977901000001101	sulphatriad tablet
sulphaurea	108205801000001112	324427007	sulphaurea
sulphur 10% ointment bp	4687801000001113	749801000001109	sulphur 10% ointment bp
sulphur compound 4% lotion bp	49273501000001111	9725801000001104	sulphur compound 4% lotion bp
sulphur+salicylic acid cream bp	49273001000001119	9725601000001103	sulphur+salicylic acid cream bp
sulphur+salicylic acid ointment bpc	49273201000001113	9725701000001108	sulphur+salicylic acid ointment bpc
sulpiride	107701601000001112	321506004	sulpiride
sulpitil 200mg tablet	10392801000001118	331401000001108	sulpitil 200mg tablet
sulpor 200mg/5ml oral solution	7719901000001114	4015001000001101	sulpor 200mg/5ml oral solution
sultamicillin 375mg tablet	5831501000001112	1968401000001100	sultamicillin 375mg tablet
sultrin cream	4644801000001111	681001000001101	sultrin cream
sultrin vaginal tablet	4680701000001117	739401000001108	sultrin vaginal tablet
sumatriptan	105031401000001118	322822007	sumatriptan
super soft paraffin eye ointment	10295701000001114	483401000001107	super soft paraffin eye ointment
supralip 160mg m/r tablet	7549101000001119	3831101000001107	supralip 160mg m/r tablet
suprax 100mg/5ml paediatric oral suspension	10353501000001115	47501000001102	suprax 100mg/5ml paediatric oral suspension
suprax 100mg/5ml paediatric suspension 50ml	13738601000001113	8563101000001101	suprax 100mg/5ml paediatric suspension 50ml
suprax 200mg tablet	4506401000001117	471501000001100	suprax 200mg tablet
suprecur 150micrograms nasal spray	10838401000001113	2425101000001109	suprecur 150micrograms nasal spray
suprefact 100micrograms nasal spray	4551101000001112	540601000001102	suprefact 100micrograms nasal spray
surbex-t tablet	5867701000001118	2004701000001105	surbex-t tablet
surem 5mg capsule	5810901000001118	1947601000001107	surem 5mg capsule
surgam 200mg tablet	4552001000001119	541801000001107	surgam 200mg tablet
surmontil 10mg tablet	4645401000001110	682001000001105	surmontil 10mg tablet
suscard 1mg m/r buccal tablet	4674601000001111	729501000001109	suscard 1mg m/r buccal tablet
sustac 2.6mg m/r tablet	4497401000001113	459001000001105	sustac 2.6mg m/r tablet
sustamycin 250mg m/r capsule	4403401000001119	312301000001103	sustamycin 250mg m/r capsule
sustanon 100 oily injection	61193801000001118	675901000001108	sustanon 100 oily injection
sustiva 100mg capsule	7325801000001112	3585001000001104	sustiva 100mg capsule
sustiva 200mg capsule	7325901000001118	3585101000001103	sustiva 200mg capsule
sustiva 30mg/ml oral solution	12528001000001114	4155701000001100	sustiva 30mg/ml oral solution
sustiva 50mg capsule	7325701000001115	3584901000001104	sustiva 50mg capsule
sustiva 600mg tablet	12851501000001114	4221001000001103	sustiva 600mg tablet
symbicort 100/6 turbohaler	7635101000001110	3926501000001103	symbicort 100/6 turbohaler
symmetrel 100mg capsule	4490901000001117	449601000001104	symmetrel 100mg capsule
sympatol 10% liquid	5796601000001113	1933301000001108	sympatol 10% liquid
synadrin 60mg tablet	5794101000001112	1930801000001106	synadrin 60mg tablet
synagis 100mg injection (pdr for recon)+solvent	7365801000001118	3630201000001100	synagis 100mg injection (pdr for recon)+solvent
synagis 50mg injection (pdr for recon)+solvent	7365701000001110	3630101000001107	synagis 50mg injection (pdr for recon)+solvent
synalar 1:10 cream	10800201000001116	2292201000001104	synalar 1:10 cream
synandone 0.01% cream	5876801000001119	2014401000001100	synandone 0.01% cream
synarel 200micrograms nasal spray	4598401000001118	610101000001109	synarel 200micrograms nasal spray
synastone 10mg/1ml injection	13025001000001110	4304501000001107	synastone 10mg/1ml injection
synastone 20mg/2ml injection	13025201000001116	4304601000001106	synastone 20mg/2ml injection
synastone 35mg/3.5ml injection	13025401000001117	4304701000001101	synastone 35mg/3.5ml injection
synastone 50mg/1ml injection	13334001000001114	4465101000001106	synastone 50mg/1ml injection
synastone 50mg/2ml injection	13333901000001111	4465001000001105	synastone 50mg/2ml injection
synastone 50mg/5ml injection	13025601000001119	4304801000001105	synastone 50mg/5ml injection
syndol tablet	4975101000001116	1103001000001100	syndol tablet
synercid infusion (pdr for recon)	7351901000001119	3614301000001109	synercid infusion (pdr for recon)
synergel gel	10497001000001117	1902901000001107	synergel gel
synflex 275mg tablet	4276301000001114	112101000001109	synflex 275mg tablet
synkavit 10mg tablet	4328201000001112	190501000001104	synkavit 10mg tablet
synogist shampoo	10502801000001118	836501000001104	synogist shampoo
synphase tablet	4371401000001119	261201000001108	synphase tablet
syntaris 25micrograms nasal spray	4644701000001119	680701000001108	syntaris 25micrograms nasal spray
syntex menophase tablet	4416201000001111	331701000001101	syntex menophase tablet
syntopressin 250iu/5ml nasal spray	4956001000001113	1075901000001101	syntopressin 250iu/5ml nasal spray
synuretic tablet	5786901000001119	1923501000001104	synuretic tablet
syprol 5mg/5ml oral solution	7569601000001117	3854601000001100	syprol 5mg/5ml oral solution
syraprim 100mg tablet	5841901000001115	1978901000001100	syraprim 100mg tablet
syraprim 100mg/5ml injection	5842101000001112	1979101000001106	syraprim 100mg/5ml injection
syraprim 300mg tablet	5842001000001111	1979001000001105	syraprim 300mg tablet
syscor mr 10mg m/r tablet	6643201000001119	2843001000001104	syscor mr 10mg m/r tablet
sytron 190mg/5ml elixir	10830901000001118	415501000001107	sytron 190mg/5ml elixir
sytron 27.5mg/5ml elixir	10831001000001110	415501000001107	sytron 27.5mg/5ml elixir
t/gel shampoo	10374501000001115	811901000001106	t/gel shampoo
tacalcitol	107770001000001118	332214000	tacalcitol
tachyrol 200micrograms tablet	5866501000001110	2003501000001102	tachyrol 200micrograms tablet
tacrolimus	107653501000001110	109129008	tacrolimus
tadalafil	107825401000001118	407734006	tadalafil
tagamet 100 tablet	10803701000001119	2326601000001101	tagamet 100 tablet
talampicillin	108114201000001111	96073006	talampicillin
talc dusting powder bp	49268401000001114	9723801000001103	talc dusting powder bp
talpen 125mg/5ml syrup	5833601000001110	1970501000001105	talpen 125mg/5ml syrup
talpen 250mg tablet	5833501000001111	1970401000001106	talpen 250mg tablet
tambocor 50mg tablet	4599401000001110	611801000001105	tambocor 50mg tablet
tamiflu 12mg/ml oral suspension	12528701000001111	4180701000001100	tamiflu 12mg/ml oral suspension
tamiflu 75mg capsule	12528601000001118	4180601000001105	tamiflu 75mg capsule
tamofen 10mg tablet	4645601000001113	682401000001100	tamofen 10mg tablet
tamoxifen	107623401000001112	75959001	tamoxifen
tampovagan pessary	4559401000001117	553101000001100	tampovagan pessary
tamsulosin	107641101000001116	108559004	tamsulosin
tanatril 5mg tablet	7276401000001114	3528701000001104	tanatril 5mg tablet
tancolin paediatric linctus	4692601000001110	758301000001108	tancolin paediatric linctus
tanderil eye ointment	10295801000001117	553601000001109	tanderil eye ointment
taractan 15mg tablet	5815601000001116	1952301000001101	taractan 15mg tablet
tarcortin cream	10284301000001112	800201000001106	tarcortin cream
targocid 200mg injection (pdr for recon)+diluent	4442501000001117	372901000001109	targocid 200mg injection (pdr for recon)+diluent
targocid 400mg injection (pdr for recon)+diluent	4397501000001116	302901000001100	targocid 400mg injection (pdr for recon)+diluent
targretin 75mg capsule	7759001000001118	4056101000001100	targretin 75mg capsule
tarivid 100mg/50ml intravenous infusion	4530001000001119	508901000001100	tarivid 100mg/50ml intravenous infusion
tarivid 200mg tablet	4371801000001117	261601000001105	tarivid 200mg tablet
tarivid 200mg/100ml intravenous infusion	4483901000001110	439101000001107	tarivid 200mg/100ml intravenous infusion
tarivid 400mg tablet	4416401000001110	332101000001108	tarivid 400mg tablet
tarka 2mg/180mg m/r capsule	6951501000001117	3179601000001107	tarka 2mg/180mg m/r capsule
tasmar 100mg tablet	6810501000001112	3034501000001101	tasmar 100mg tablet
taumasthman tablet	5960901000001110	2098601000001109	taumasthman tablet
tavanic 250mg tablet	7121601000001115	3356001000001104	tavanic 250mg tablet
tavanic 500mg tablet	7121701000001113	3356101000001103	tavanic 500mg tablet
tavanic 500mg/100ml intravenous infusion	7121801000001116	3356201000001105	tavanic 500mg/100ml intravenous infusion
tavegil 1mg tablet	4461301000001110	402501000001102	tavegil 1mg tablet
tazarotene	107649501000001110	108906007	tazarotene
tazocin 2g/250mg injection (pdr for recon)	4668901000001115	721301000001101	tazocin 2g/250mg injection (pdr for recon)
tazocin 4g/500mg infusion (pdr for recon)+kit	4429601000001112	353201000001109	tazocin 4g/500mg infusion (pdr for recon)+kit
tazocin 4g/500mg injection (pdr for recon)	4212201000001114	9001000001109	tazocin 4g/500mg injection (pdr for recon)
tears naturale eye drops	10293401000001118	199701000001102	tears naturale eye drops
tedral elixir	4773201000001115	868701000001102	tedral elixir
tedral tablet	5804001000001111	1940701000001103	tedral tablet
teejel 8.7% oral gel	10787101000001111	261101000001101	teejel 8.7% oral gel
teflox 300mg tablet	5844001000001116	1981001000001100	teflox 300mg tablet
teflox 400mg tablet	5844101000001115	1981101000001104	teflox 400mg tablet
tegretol 100mg tablet	4266901000001116	98101000001101	tegretol 100mg tablet
teicoplanin	107631701000001116	96014005	teicoplanin
telfast 30 tablet	13108201000001112	4395901000001102	telfast 30 tablet
telithromycin	107813001000001115	395260006	telithromycin
telmisartan	107660001000001119	129487008	telmisartan
telzir 50mg/ml oral suspension	13825001000001114	8606101000001101	telzir 50mg/ml oral suspension
telzir 700mg tablet	13503301000001116	8458601000001103	telzir 700mg tablet
temafloxacin	108114701000001115	96091001	temafloxacin
temazepam	107613601000001118	54705000	temazepam
temetex 0.1% cream	5876601000001118	2014201000001104	temetex 0.1% cream
temetex 0.1% ointment	4883501000001112	992001000001105	temetex 0.1% ointment
temgesic 200mcg sublingual tablet	4730001000001118	815101000001105	temgesic 200mcg sublingual tablet
temgesic 300micrograms/1ml injection	4437401000001119	364701000001109	temgesic 300micrograms/1ml injection
temgesic 400mcg sublingual tablet	4244101000001117	61301000001105	temgesic 400mcg sublingual tablet
temgesic 600micrograms/2ml injection	5823401000001114	1960301000001106	temgesic 600micrograms/2ml injection
temocillin	107632601000001119	96065002	temocillin
temodal 5mg capsule	7280501000001119	3534801000001101	temodal 5mg capsule
temopen 1g injection (pdr for recon)	4304401000001112	156001000001102	temopen 1g injection (pdr for recon)
temopen 500mg injection (pdr for recon)	5830001000001113	1966901000001105	temopen 500mg injection (pdr for recon)
temozolomide	107656301000001113	116099008	temozolomide
tenavoid tablet	5813401000001118	1950101000001102	tenavoid tablet
tenben capsule	6690101000001114	2898101000001101	tenben capsule
tenchlor 50mg/12.5mg tablet	4689601000001115	752701000001109	tenchlor 50mg/12.5mg tablet
tenif capsule	4408901000001117	320401000001100	tenif capsule
tenkicin 250mg tablet	6787901000001119	3008801000001102	tenkicin 250mg tablet
tenkorex 125mg/5ml suspension	6273701000001114	2441101000001105	tenkorex 125mg/5ml suspension
tenkorex 250mg capsule	6273501000001115	2440901000001100	tenkorex 250mg capsule
tenkorex 250mg/5ml suspension	6273801000001117	2441201000001103	tenkorex 250mg/5ml suspension
tenkorex 500mg capsule	6273601000001116	2441001000001109	tenkorex 500mg capsule
tenkorex 500mg tablet	6273901000001111	2441301000001107	tenkorex 500mg tablet
tenofovir	108325201000001113	395264002	tenofovir
tenoret 50 tablet	4276801000001116	112901000001107	tenoret 50 tablet
tenoretic tablet	4328601000001114	191301000001100	tenoretic tablet
tenormin 25 tablet	4416501000001114	332501000001103	tenormin 25 tablet
tenoxicam	107756801000001112	329913008	tenoxicam
tensilon 10mg/1ml injection	8927401000001115	504801000001102	tensilon 10mg/1ml injection
tensipine mr 10 m/r tablet	6637001000001117	2835001000001104	tensipine mr 10 m/r tablet
tensium 2mg tablet	4552801000001114	543001000001104	tensium 2mg tablet
tensomex 100mg tablet	12501801000001115	4165601000001103	tensomex 100mg tablet
tensopril 12.5mg tablet	7165101000001116	3405401000001101	tensopril 12.5mg tablet
tenuate dospan 75mg m/r tablet	4540101000001119	524301000001102	tenuate dospan 75mg m/r tablet
teoptic 1% eye drops	10293501000001119	270301000001102	teoptic 1% eye drops
terazosin	107659901000001116	129484001	terazosin
terbinafine	107650001000001112	108925005	terbinafine
terbutaline	107609201000001116	45311002	terbutaline
tercoda elixir	8037601000001112	1071101000001101	tercoda elixir
tercolix elixir	5809401000001119	1946101000001101	tercolix elixir
terfenadine	107595801000001112	16037009	terfenadine
terfenor 30mg tablet	6595501000001115	2785601000001101	terfenor 30mg tablet
terfex 60mg tablet	10613801000001118	1136601000001106	terfex 60mg tablet
